epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,107.463,1.5084,54.0742,0.90285,0.55542,0.12682,0.08868,0.05615,1.26239,23.6282,0.87542,0.00332663,0.00332663,0.00332663
2,196.465,1.40608,38.4762,0.88444,0.41231,0.26445,0.1535,0.09496,1.28086,21.2051,0.89047,0.00665833,0.00665833,0.00665833
3,287.213,1.43346,32.0453,0.89099,0.50717,0.22377,0.16921,0.10103,1.30301,21.9965,0.89778,0.00998353,0.00998353,0.00998353
4,373.345,1.45589,23.9191,0.90326,0.55123,0.25833,0.23709,0.15012,1.27308,17.6887,0.90804,0.00997803,0.00997803,0.00997803
5,460.607,1.39338,19.2944,0.89639,0.55446,0.27251,0.24537,0.15527,1.22168,17.309,0.8989,0.00996097,0.00996097,0.00996097
6,550.471,1.34623,18.0298,0.88079,0.59179,0.2708,0.28838,0.19043,1.18041,16.4938,0.88421,0.00993906,0.00993906,0.00993906
7,639.461,1.31523,17.219,0.87735,0.42606,0.33681,0.30306,0.19786,1.14229,15.0894,0.8809,0.00991232,0.00991232,0.00991232
8,729.321,1.29927,16.422,0.8773,0.57952,0.30902,0.30842,0.20006,1.18635,15.2566,0.88704,0.00988079,0.00988079,0.00988079
9,820.851,1.28297,15.8694,0.87159,0.58394,0.32684,0.32265,0.20515,1.14351,14.9514,0.88185,0.00984449,0.00984449,0.00984449
10,911.537,1.25231,15.3216,0.86585,0.60114,0.32545,0.3506,0.23288,1.10944,14.0456,0.88068,0.00980345,0.00980345,0.00980345
11,1003.24,1.24723,14.7764,0.86611,0.49992,0.40271,0.36572,0.24194,1.09655,13.427,0.87223,0.00975773,0.00975773,0.00975773
12,1096.35,1.21741,14.5191,0.86495,0.48111,0.41719,0.38916,0.25142,1.12151,13.4259,0.87633,0.00970736,0.00970736,0.00970736
13,1189.38,1.23155,14.3255,0.86426,0.5484,0.385,0.38071,0.25929,1.0818,12.9136,0.8656,0.00965239,0.00965239,0.00965239
14,1281.37,1.20335,13.8056,0.86237,0.4949,0.41203,0.41099,0.27891,1.09289,12.8502,0.86791,0.00959289,0.00959289,0.00959289
15,1372.65,1.21188,13.6904,0.85734,0.55644,0.40616,0.42821,0.29749,1.06863,12.5573,0.86712,0.00952889,0.00952889,0.00952889
16,1463.93,1.20441,13.6877,0.86168,0.53231,0.41215,0.41568,0.28445,1.07827,12.7482,0.86601,0.00946048,0.00946048,0.00946048
17,1555.04,1.18754,13.4165,0.85888,0.60977,0.39453,0.42478,0.29067,1.05517,12.2742,0.86281,0.00938772,0.00938772,0.00938772
18,1645.42,1.17977,13.0106,0.858,0.5705,0.43322,0.46616,0.32102,1.04877,11.7611,0.86043,0.00931067,0.00931067,0.00931067
